
[############################################      ] 88% 300-301 | [68]-[69] | 16.72 s | join = 2181 | tmass = 2181 | gaia = 8477| TOP = 50000000
[############################################      ] 89% 300-301 | [69]-[70] | 17.4 s | join = 1876 | tmass = 1876 | gaia = 7522| TOP = 50000000
[############################################      ] 89% 300-301 | [70]-[71] | 65.85 s | join = 1681 | tmass = 1681 | gaia = 6793| TOP = 50000000
[#############################################     ] 90% 300-301 | [71]-[72] | 18.27 s | join = 1629 | tmass = 1629 | gaia = 6654| TOP = 50000000
[#############################################     ] 91% 300-301 | [72]-[73] | 12.7 s | join = 1664 | tmass = 1664 | gaia = 6479| TOP = 50000000
[#############################################     ] 91% 300-301 | [73]-[74] | 53.94 s | join = 1576 | tmass = 1576 | gaia = 6006| TOP = 50000000
[#############################################     ] 92% 300-301 | [74]-[75] | 15.02 s | join = 1408 | tmass = 1408 | gaia = 5400| TOP = 50000000
[##############################################    ] 92% 300-301 | [75]-[76] | 14.19 s | join = 1132 | tmass = 1132 | gaia = 4714| TOP = 50000000
[##############################################    ] 93% 300-301 | [76]-[77] | 55.15 s | join = 1110 | tmass = 1110 | gaia = 4222| TOP = 50000000
[##############################################    ] 93% 300-301 | [77]-[78] | 13.78 s | join = 1000 | tmass = 1000 | gaia = 3949| TOP = 50000000
[##############################################    ] 94% 300-301 | [78]-[79] | 11.7 s | join = 880 | tmass = 880 | gaia = 3492| TOP = 50000000
[###############################################   ] 94% 300-301 | [79]-[80] | 62.15 s | join = 797 | tmass = 797 | gaia = 3136| TOP = 50000000
[###############################################   ] 95% 300-301 | [80]-[81] | 16.8 s | join = 690 | tmass = 690 | gaia = 2753| TOP = 50000000
[###############################################   ] 96% 300-301 | [81]-[82] | 10.19 s | join = 582 | tmass = 582 | gaia = 2304| TOP = 50000000
[################################################  ] 96% 300-301 | [82]-[83] | 9.87 s | join = 476 | tmass = 476 | gaia = 2043| TOP = 50000000
[################################################  ] 97% 300-301 | [83]-[84] | 11.99 s | join = 453 | tmass = 453 | gaia = 1716| TOP = 50000000
[################################################  ] 97% 300-301 | [84]-[85] | 59.93 s | join = 334 | tmass = 334 | gaia = 1314| TOP = 50000000
[################################################  ] 98% 300-301 | [85]-[86] | 13.12 s | join = 262 | tmass = 262 | gaia = 1021| TOP = 50000000
[################################################# ] 98% 300-301 | [86]-[87] | 10.26 s | join = 209 | tmass = 209 | gaia = 800| TOP = 50000000
[################################################# ] 99% 300-301 | [87]-[88] | 10.72 s | join = 142 | tmass = 142 | gaia = 583| TOP = 50000000
