
[#################################                 ] 67% 350-351 | [10]-[20] | 50.79 s | join = 22268 | tmass = 22268 | gaia = 87710| TOP = 50000000
[##################################################] 100% 350-351 | [20]-[30] | 81.57 s | join = 28977 | tmass = 28977 | gaia = 116356| TOP = 50000000
[################                                  ] 33% 351-352 | [0]-[10] | 46.46 s | join = 19497 | tmass = 19497 | gaia = 71942| TOP = 50000000
[#################################                 ] 67% 351-352 | [10]-[20] | 58.46 s | join = 21651 | tmass = 21651 | gaia = 85550| TOP = 50000000
[##################################################] 100% 351-352 | [20]-[30] | 78.33 s | join = 27401 | tmass = 27401 | gaia = 112074| TOP = 50000000
[################                                  ] 33% 352-353 | [0]-[10] | 46.12 s | join = 18942 | tmass = 18942 | gaia = 70862| TOP = 50000000
[#################################                 ] 67% 352-353 | [10]-[20] | 60.37 s | join = 20690 | tmass = 20690 | gaia = 82781| TOP = 50000000
[##################################################] 100% 352-353 | [20]-[30] | 69.99 s | join = 27620 | tmass = 27620 | gaia = 109927| TOP = 50000000
[################                                  ] 33% 353-354 | [0]-[10] | 49.22 s | join = 18567 | tmass = 18567 | gaia = 70277| TOP = 50000000
[#################################                 ] 67% 353-354 | [10]-[20] | 49.4 s | join = 20293 | tmass = 20293 | gaia = 82304| TOP = 50000000
[##################################################] 100% 353-354 | [20]-[30] | 71.37 s | join = 26960 | tmass = 26960 | gaia = 106364| TOP = 50000000
[################                                  ] 33% 354-355 | [0]-[10] | 50.02 s | join = 19021 | tmass = 19021 | gaia = 69716| TOP = 50000000
[#################################                 ] 67% 354-355 | [10]-[20] | 48.35 s | join = 21916 | tmass = 21916 | gaia = 80627| TOP = 50000000
[##################################################] 100% 354-355 | [20]-[30] | 80.24 s | join = 25302 | tmass = 25302 | gaia = 102741| TOP = 50000000
[################                                  ] 33% 355-356 | [0]-[10] | 44.51 s | join = 17936 | tmass = 17936 | gaia = 67545| TOP = 50000000
[#################################                 ] 67% 355-356 | [10]-[20] | 52.96 s | join = 19572 | tmass = 19572 | gaia = 77942| TOP = 50000000
[##################################################] 100% 355-356 | [20]-[30] | 66.93 s | join = 25598 | tmass = 25598 | gaia = 101365| TOP = 50000000
[################                                  ] 33% 356-357 | [0]-[10] | 53.38 s | join = 16425 | tmass = 16425 | gaia = 65588| TOP = 50000000
[#################################                 ] 67% 356-357 | [10]-[20] | 52.11 s | join = 19861 | tmass = 19861 | gaia = 76538| TOP = 50000000
[##################################################] 100% 356-357 | [20]-[30] | 69.18 s | join = 24054 | tmass = 24054 | gaia = 98702| TOP = 50000000
[################                                  ] 33% 357-358 | [0]-[10] | 42.81 s | join = 16657 | tmass = 16657 | gaia = 66203| TOP = 50000000
[#################################                 ] 67% 357-358 | [10]-[20] | 56.41 s | join = 20700 | tmass = 20700 | gaia = 77436| TOP = 50000000
[##################################################] 100% 357-358 | [20]-[30] | 66.08 s | join = 25165 | tmass = 25165 | gaia = 96254| TOP = 50000000
[################                                  ] 33% 358-359 | [0]-[10] | 60.31 s | join = 17530 | tmass = 17530 | gaia = 66471| TOP = 50000000
[#################################                 ] 67% 358-359 | [10]-[20] | 54.22 s | join = 19857 | tmass = 19857 | gaia = 76455| TOP = 50000000
[##################################################] 100% 358-359 | [20]-[30] | 67.38 s | join = 24531 | tmass = 24531 | gaia = 94672| TOP = 50000000
[################                                  ] 33% 359-360 | [0]-[10] | 51.12 s | join = 17830 | tmass = 17830 | gaia = 49234| TOP = 50000000
[#################################                 ] 67% 359-360 | [10]-[20] | 44.14 s | join = 18755 | tmass = 18755 | gaia = 55763| TOP = 50000000
[##################################################] 100% 359-360 | [20]-[30] | 43.86 s | join = 23504 | tmass = 23504 | gaia = 70876| TOP = 50000000
