
[#################################                 ] 68% 330-331 | [31]-[32] | 27.48 s | join = 7561 | tmass = 7561 | gaia = 30028| TOP = 50000000
[##################################                ] 68% 330-331 | [32]-[33] | 57.03 s | join = 7716 | tmass = 7716 | gaia = 31290| TOP = 50000000
[##################################                ] 69% 330-331 | [33]-[34] | 26.29 s | join = 8159 | tmass = 8159 | gaia = 32598| TOP = 50000000
[##################################                ] 69% 330-331 | [34]-[35] | 71.48 s | join = 8593 | tmass = 8593 | gaia = 34075| TOP = 50000000
[###################################               ] 70% 330-331 | [35]-[36] | 26.07 s | join = 9213 | tmass = 9213 | gaia = 34810| TOP = 50000000
[###################################               ] 71% 330-331 | [36]-[37] | 58.61 s | join = 8688 | tmass = 8688 | gaia = 34998| TOP = 50000000
[###################################               ] 71% 330-331 | [37]-[38] | 83.23 s | join = 9305 | tmass = 9305 | gaia = 36024| TOP = 50000000
[###################################               ] 72% 330-331 | [38]-[39] | 73.09 s | join = 9676 | tmass = 9676 | gaia = 37809| TOP = 50000000
[####################################              ] 72% 330-331 | [39]-[40] | 75.8 s | join = 10205 | tmass = 10205 | gaia = 39615| TOP = 50000000
[####################################              ] 73% 330-331 | [40]-[41] | 78.53 s | join = 10920 | tmass = 10920 | gaia = 42142| TOP = 50000000
[####################################              ] 73% 330-331 | [41]-[42] | 45.21 s | join = 12087 | tmass = 12087 | gaia = 45767| TOP = 50000000
[####################################              ] 74% 330-331 | [42]-[43] | 63.02 s | join = 12562 | tmass = 12562 | gaia = 49059| TOP = 50000000
[#####################################             ] 74% 330-331 | [43]-[44] | 96.97 s | join = 13596 | tmass = 13596 | gaia = 53051| TOP = 50000000
[#####################################             ] 75% 330-331 | [44]-[45] | 40.15 s | join = 14979 | tmass = 14979 | gaia = 58414| TOP = 50000000
[#####################################             ] 76% 330-331 | [45]-[46] | 74.73 s | join = 16841 | tmass = 16841 | gaia = 65429| TOP = 50000000
[######################################            ] 76% 330-331 | [46]-[47] | 95.34 s | join = 18838 | tmass = 18838 | gaia = 72766| TOP = 50000000
[######################################            ] 77% 330-331 | [47]-[48] | 99.4 s | join = 20558 | tmass = 20558 | gaia = 78613| TOP = 50000000
[######################################            ] 77% 330-331 | [48]-[49] | 63.53 s | join = 19954 | tmass = 19954 | gaia = 80797| TOP = 50000000
[######################################            ] 78% 330-331 | [49]-[50] | 63.68 s | join = 21159 | tmass = 21159 | gaia = 83258| TOP = 50000000
[#######################################           ] 78% 330-331 | [50]-[51] | 90.13 s | join = 22484 | tmass = 22484 | gaia = 88648| TOP = 50000000
[#######################################           ] 79% 330-331 | [51]-[52] | 107.73 s | join = 23884 | tmass = 23884 | gaia = 92511| TOP = 50000000
[#######################################           ] 79% 330-331 | [52]-[53] | 85.9 s | join = 23426 | tmass = 23426 | gaia = 93885| TOP = 50000000
[########################################          ] 80% 330-331 | [53]-[54] | 81.36 s | join = 24116 | tmass = 24116 | gaia = 96717| TOP = 50000000
[########################################          ] 81% 330-331 | [54]-[55] | 104.06 s | join = 26343 | tmass = 26343 | gaia = 100449| TOP = 50000000
[########################################          ] 81% 330-331 | [55]-[56] | 109.84 s | join = 24950 | tmass = 24950 | gaia = 99811| TOP = 50000000
[########################################          ] 82% 330-331 | [56]-[57] | 119.66 s | join = 25007 | tmass = 25007 | gaia = 96818| TOP = 50000000
[#########################################         ] 82% 330-331 | [57]-[58] | 103.71 s | join = 23414 | tmass = 23414 | gaia = 89193| TOP = 50000000
[#########################################         ] 83% 330-331 | [58]-[59] | 51.99 s | join = 18165 | tmass = 18165 | gaia = 76826| TOP = 50000000
[#########################################         ] 83% 330-331 | [59]-[60] | 68.43 s | join = 19663 | tmass = 19663 | gaia = 73534| TOP = 50000000
[#########################################         ] 84% 330-331 | [60]-[61] | 45.47 s | join = 18125 | tmass = 18125 | gaia = 70991| TOP = 50000000
[##########################################        ] 84% 330-331 | [61]-[62] | 74.7 s | join = 15300 | tmass = 15300 | gaia = 61714| TOP = 50000000
[##########################################        ] 85% 330-331 | [62]-[63] | 88.27 s | join = 13519 | tmass = 13519 | gaia = 52877| TOP = 50000000
