
[################                                  ] 33% 28-29 | [-60]-[-50] | 28.49 s | join = 10059 | tmass = 10059 | gaia = 37690| TOP = 50000000
[#################################                 ] 67% 28-29 | [-50]-[-40] | 39.71 s | join = 10008 | tmass = 10008 | gaia = 38981| TOP = 50000000
[##################################################] 100% 28-29 | [-40]-[-30] | 33.02 s | join = 10579 | tmass = 10579 | gaia = 41365| TOP = 50000000
[################                                  ] 33% 29-30 | [-60]-[-50] | 28.24 s | join = 10201 | tmass = 10201 | gaia = 38183| TOP = 50000000
[#################################                 ] 67% 29-30 | [-50]-[-40] | 32.97 s | join = 10193 | tmass = 10193 | gaia = 39636| TOP = 50000000
[##################################################] 100% 29-30 | [-40]-[-30] | 38.82 s | join = 10736 | tmass = 10736 | gaia = 41164| TOP = 50000000
[################                                  ] 33% 30-31 | [-60]-[-50] | 53.47 s | join = 10258 | tmass = 10258 | gaia = 38428| TOP = 50000000
[#################################                 ] 67% 30-31 | [-50]-[-40] | 29.95 s | join = 10593 | tmass = 10593 | gaia = 39726| TOP = 50000000
[##################################################] 100% 30-31 | [-40]-[-30] | 38.16 s | join = 10683 | tmass = 10683 | gaia = 41056| TOP = 50000000
[################                                  ] 33% 31-32 | [-60]-[-50] | 37.43 s | join = 10056 | tmass = 10056 | gaia = 37920| TOP = 50000000
[#################################                 ] 67% 31-32 | [-50]-[-40] | 35.16 s | join = 11249 | tmass = 11249 | gaia = 40594| TOP = 50000000
[##################################################] 100% 31-32 | [-40]-[-30] | 43.07 s | join = 10530 | tmass = 10530 | gaia = 41473| TOP = 50000000
[################                                  ] 33% 32-33 | [-60]-[-50] | 33.77 s | join = 9975 | tmass = 9975 | gaia = 37959| TOP = 50000000
[#################################                 ] 67% 32-33 | [-50]-[-40] | 37.88 s | join = 11218 | tmass = 11218 | gaia = 41880| TOP = 50000000
[##################################################] 100% 32-33 | [-40]-[-30] | 38.75 s | join = 10692 | tmass = 10692 | gaia = 42854| TOP = 50000000
[################                                  ] 33% 33-34 | [-60]-[-50] | 60.43 s | join = 9862 | tmass = 9862 | gaia = 37910| TOP = 50000000
[#################################                 ] 67% 33-34 | [-50]-[-40] | 31.94 s | join = 11171 | tmass = 11171 | gaia = 41297| TOP = 50000000
[##################################################] 100% 33-34 | [-40]-[-30] | 40.86 s | join = 11269 | tmass = 11269 | gaia = 43039| TOP = 50000000
[################                                  ] 33% 34-35 | [-60]-[-50] | 78.55 s | join = 9424 | tmass = 9424 | gaia = 37239| TOP = 50000000
[#################################                 ] 67% 34-35 | [-50]-[-40] | 40.63 s | join = 10833 | tmass = 10833 | gaia = 40418| TOP = 50000000
[##################################################] 100% 34-35 | [-40]-[-30] | 37.74 s | join = 10562 | tmass = 10562 | gaia = 41986| TOP = 50000000
[################                                  ] 33% 35-36 | [-60]-[-50] | 40.71 s | join = 9988 | tmass = 9988 | gaia = 37927| TOP = 50000000
[#################################                 ] 67% 35-36 | [-50]-[-40] | 75.57 s | join = 10937 | tmass = 10937 | gaia = 41306| TOP = 50000000
[##################################################] 100% 35-36 | [-40]-[-30] | 40.68 s | join = 11189 | tmass = 11189 | gaia = 42352| TOP = 50000000
[################                                  ] 33% 36-37 | [-60]-[-50] | 39.16 s | join = 10231 | tmass = 10231 | gaia = 38396| TOP = 50000000
[#################################                 ] 67% 36-37 | [-50]-[-40] | 42.21 s | join = 10709 | tmass = 10709 | gaia = 41091| TOP = 50000000
[##################################################] 100% 36-37 | [-40]-[-30] | 41.98 s | join = 11082 | tmass = 11082 | gaia = 42631| TOP = 50000000
[################                                  ] 33% 37-38 | [-60]-[-50] | 33.91 s | join = 10439 | tmass = 10439 | gaia = 38306| TOP = 50000000
[#################################                 ] 67% 37-38 | [-50]-[-40] | 32.37 s | join = 10382 | tmass = 10382 | gaia = 40482| TOP = 50000000
[##################################################] 100% 37-38 | [-40]-[-30] | 33.0 s | join = 11802 | tmass = 11802 | gaia = 41831| TOP = 50000000
[################                                  ] 33% 38-39 | [-60]-[-50] | 39.54 s | join = 10607 | tmass = 10607 | gaia = 39156| TOP = 50000000
