
[###########                                       ] 22% 73-74 | [-60]-[-50] | 36.04 s | join = 1734 | tmass = 1734 | gaia = 36441| TOP = 58110
[#############                                     ] 28% 73-74 | [-50]-[-40] | 38.4 s | join = 2061 | tmass = 2061 | gaia = 42220| TOP = 72882
[################                                  ] 33% 73-74 | [-40]-[-30] | 37.77 s | join = 2342 | tmass = 2342 | gaia = 47867| TOP = 84440
[###################                               ] 39% 73-74 | [-30]-[-20] | 36.59 s | join = 2793 | tmass = 2793 | gaia = 52297| TOP = 95734
[######################                            ] 44% 73-74 | [-20]-[-10] | 45.85 s | join = 3215 | tmass = 3215 | gaia = 56230| TOP = 104594
[#########################                         ] 50% 73-74 | [-10]-[0] | 53.22 s | join = 4007 | tmass = 4007 | gaia = 63638| TOP = 112460
[###########################                       ] 56% 73-74 | [0]-[10] | 61.19 s | join = 5033 | tmass = 5033 | gaia = 71560| TOP = 127276
[##############################                    ] 61% 73-74 | [10]-[20] | 58.66 s | join = 5835 | tmass = 5835 | gaia = 79947| TOP = 143120
[#################################                 ] 67% 73-74 | [20]-[30] | 62.22 s | join = 7789 | tmass = 7789 | gaia = 89562| TOP = 159894
[####################################              ] 72% 73-74 | [30]-[40] | 84.71 s | join = 10479 | tmass = 10479 | gaia = 117060| TOP = 179124
[######################################            ] 78% 73-74 | [40]-[50] | 78.06 s | join = 13865 | tmass = 13865 | gaia = 123052| TOP = 234120
[#########################################         ] 83% 73-74 | [50]-[60] | 62.81 s | join = 7031 | tmass = 7031 | gaia = 83795| TOP = 246104
[############################################      ] 89% 73-74 | [60]-[70] | 34.52 s | join = 3634 | tmass = 3634 | gaia = 54332| TOP = 167590
[###############################################   ] 94% 73-74 | [70]-[80] | 41.76 s | join = 1576 | tmass = 1576 | gaia = 32584| TOP = 108664
[##################################################] 100% 73-74 | [80]-[90] | 14.78 s | join = 446 | tmass = 446 | gaia = 10323| TOP = 65168
[##                                                ] 6% 74-75 | [-90]-[-80] | 21.29 s | join = 422 | tmass = 422 | gaia = 9156| TOP = 50000
[#####                                             ] 11% 74-75 | [-80]-[-70] | 28.14 s | join = 1654 | tmass = 1654 | gaia = 20077| TOP = 50000
[########                                          ] 17% 74-75 | [-70]-[-60] | 36.36 s | join = 3406 | tmass = 3406 | gaia = 29487| TOP = 50000
[###########                                       ] 22% 74-75 | [-60]-[-50] | 28.55 s | join = 1850 | tmass = 1850 | gaia = 37493| TOP = 58974
[#############                                     ] 28% 74-75 | [-50]-[-40] | 41.44 s | join = 2214 | tmass = 2214 | gaia = 43231| TOP = 74986
[################                                  ] 33% 74-75 | [-40]-[-30] | 40.55 s | join = 2467 | tmass = 2467 | gaia = 49132| TOP = 86462
[###################                               ] 39% 74-75 | [-30]-[-20] | 49.61 s | join = 2832 | tmass = 2832 | gaia = 54036| TOP = 98264
