
[################                                  ] 33% 349-350 | [-90]-[-80] | 17.44 s | join = 3347 | tmass = 3347 | gaia = 13278| TOP = 50000000
[#################################                 ] 67% 349-350 | [-80]-[-70] | 27.41 s | join = 7652 | tmass = 7652 | gaia = 29101| TOP = 50000000
[##################################################] 100% 349-350 | [-70]-[-60] | 30.07 s | join = 9983 | tmass = 9983 | gaia = 38633| TOP = 50000000
[################                                  ] 33% 350-351 | [-90]-[-80] | 20.99 s | join = 3580 | tmass = 3580 | gaia = 13923| TOP = 50000000
[#################################                 ] 67% 350-351 | [-80]-[-70] | 35.51 s | join = 7671 | tmass = 7671 | gaia = 29345| TOP = 50000000
[##################################################] 100% 350-351 | [-70]-[-60] | 58.81 s | join = 10084 | tmass = 10084 | gaia = 37747| TOP = 50000000
[################                                  ] 33% 351-352 | [-90]-[-80] | 70.21 s | join = 4039 | tmass = 4039 | gaia = 14769| TOP = 50000000
[#################################                 ] 67% 351-352 | [-80]-[-70] | 33.89 s | join = 7909 | tmass = 7909 | gaia = 29699| TOP = 50000000
[##################################################] 100% 351-352 | [-70]-[-60] | 30.76 s | join = 9635 | tmass = 9635 | gaia = 37227| TOP = 50000000
[################                                  ] 33% 352-353 | [-90]-[-80] | 20.7 s | join = 3971 | tmass = 3971 | gaia = 15139| TOP = 50000000
[#################################                 ] 67% 352-353 | [-80]-[-70] | 44.68 s | join = 8125 | tmass = 8125 | gaia = 30774| TOP = 50000000
[##################################################] 100% 352-353 | [-70]-[-60] | 93.6 s | join = 10106 | tmass = 10106 | gaia = 38192| TOP = 50000000
[################                                  ] 33% 353-354 | [-90]-[-80] | 17.68 s | join = 3935 | tmass = 3935 | gaia = 14891| TOP = 50000000
[#################################                 ] 67% 353-354 | [-80]-[-70] | 36.63 s | join = 8322 | tmass = 8322 | gaia = 31173| TOP = 50000000
[##################################################] 100% 353-354 | [-70]-[-60] | 36.41 s | join = 10276 | tmass = 10276 | gaia = 38583| TOP = 50000000
[################                                  ] 33% 354-355 | [-90]-[-80] | 28.08 s | join = 3684 | tmass = 3684 | gaia = 14460| TOP = 50000000
[#################################                 ] 67% 354-355 | [-80]-[-70] | 40.0 s | join = 8069 | tmass = 8069 | gaia = 30544| TOP = 50000000
[##################################################] 100% 354-355 | [-70]-[-60] | 58.22 s | join = 9970 | tmass = 9970 | gaia = 38289| TOP = 50000000
[################                                  ] 33% 355-356 | [-90]-[-80] | 24.88 s | join = 3631 | tmass = 3631 | gaia = 14449| TOP = 50000000
[#################################                 ] 67% 355-356 | [-80]-[-70] | 63.2 s | join = 8127 | tmass = 8127 | gaia = 30605| TOP = 50000000
[##################################################] 100% 355-356 | [-70]-[-60] | 29.11 s | join = 10078 | tmass = 10078 | gaia = 38339| TOP = 50000000
[################                                  ] 33% 356-357 | [-90]-[-80] | 19.85 s | join = 3845 | tmass = 3845 | gaia = 14735| TOP = 50000000
[#################################                 ] 67% 356-357 | [-80]-[-70] | 33.06 s | join = 8137 | tmass = 8137 | gaia = 30483| TOP = 50000000
[##################################################] 100% 356-357 | [-70]-[-60] | 35.58 s | join = 9711 | tmass = 9711 | gaia = 37519| TOP = 50000000
[################                                  ] 33% 357-358 | [-90]-[-80] | 27.72 s | join = 3729 | tmass = 3729 | gaia = 14852| TOP = 50000000
[#################################                 ] 67% 357-358 | [-80]-[-70] | 36.78 s | join = 8546 | tmass = 8546 | gaia = 30112| TOP = 50000000
[##################################################] 100% 357-358 | [-70]-[-60] | 35.98 s | join = 8886 | tmass = 8886 | gaia = 36740| TOP = 50000000
[################                                  ] 33% 358-359 | [-90]-[-80] | 26.37 s | join = 3632 | tmass = 3632 | gaia = 14506| TOP = 50000000
[#################################                 ] 67% 358-359 | [-80]-[-70] | 29.59 s | join = 7995 | tmass = 7995 | gaia = 29533| TOP = 50000000
[##################################################] 100% 358-359 | [-70]-[-60] | 74.83 s | join = 8933 | tmass = 8933 | gaia = 36455| TOP = 50000000
[################                                  ] 33% 359-360 | [-90]-[-80] | 18.62 s | join = 3869 | tmass = 3869 | gaia = 10849| TOP = 50000000
[#################################                 ] 67% 359-360 | [-80]-[-70] | 31.33 s | join = 7669 | tmass = 7669 | gaia = 21935| TOP = 50000000
[##################################################] 100% 359-360 | [-70]-[-60] | 35.74 s | join = 9662 | tmass = 9662 | gaia = 27306| TOP = 50000000
