
[##################################################] 100% 102-103 | [80]-[90] | 22.37 s | join = 3042 | tmass = 3042 | gaia = 13590| TOP = 50000000
[################                                  ] 33% 103-104 | [60]-[70] | 73.31 s | join = 17140 | tmass = 17140 | gaia = 68920| TOP = 50000000
[#################################                 ] 67% 103-104 | [70]-[80] | 43.48 s | join = 9360 | tmass = 9360 | gaia = 37362| TOP = 50000000
[##################################################] 100% 103-104 | [80]-[90] | 29.1 s | join = 3233 | tmass = 3233 | gaia = 13899| TOP = 50000000
[################                                  ] 33% 104-105 | [60]-[70] | 75.42 s | join = 16156 | tmass = 16156 | gaia = 66741| TOP = 50000000
[#################################                 ] 67% 104-105 | [70]-[80] | 35.1 s | join = 9219 | tmass = 9219 | gaia = 36630| TOP = 50000000
[##################################################] 100% 104-105 | [80]-[90] | 56.06 s | join = 3320 | tmass = 3320 | gaia = 14059| TOP = 50000000
[################                                  ] 33% 105-106 | [60]-[70] | 78.65 s | join = 16153 | tmass = 16153 | gaia = 65082| TOP = 50000000
[#################################                 ] 67% 105-106 | [70]-[80] | 50.33 s | join = 9242 | tmass = 9242 | gaia = 36011| TOP = 50000000
[##################################################] 100% 105-106 | [80]-[90] | 77.96 s | join = 3000 | tmass = 3000 | gaia = 13420| TOP = 50000000
[################                                  ] 33% 106-107 | [60]-[70] | 54.27 s | join = 16447 | tmass = 16447 | gaia = 63660| TOP = 50000000
[#################################                 ] 67% 106-107 | [70]-[80] | 41.3 s | join = 8617 | tmass = 8617 | gaia = 35954| TOP = 50000000
[##################################################] 100% 106-107 | [80]-[90] | 24.73 s | join = 3156 | tmass = 3156 | gaia = 12962| TOP = 50000000
[################                                  ] 33% 107-108 | [60]-[70] | 87.07 s | join = 15827 | tmass = 15827 | gaia = 60911| TOP = 50000000
[#################################                 ] 67% 107-108 | [70]-[80] | 108.33 s | join = 9192 | tmass = 9192 | gaia = 35956| TOP = 50000000
[##################################################] 100% 107-108 | [80]-[90] | 23.66 s | join = 3043 | tmass = 3043 | gaia = 13116| TOP = 50000000
[################                                  ] 33% 108-109 | [60]-[70] | 49.46 s | join = 14446 | tmass = 14446 | gaia = 58197| TOP = 50000000
[#################################                 ] 67% 108-109 | [70]-[80] | 39.39 s | join = 8631 | tmass = 8631 | gaia = 34402| TOP = 50000000
[##################################################] 100% 108-109 | [80]-[90] | 20.91 s | join = 3133 | tmass = 3133 | gaia = 13193| TOP = 50000000
[################                                  ] 33% 109-110 | [60]-[70] | 64.2 s | join = 13374 | tmass = 13374 | gaia = 56765| TOP = 50000000
[#################################                 ] 67% 109-110 | [70]-[80] | 66.86 s | join = 8432 | tmass = 8432 | gaia = 32928| TOP = 50000000
[##################################################] 100% 109-110 | [80]-[90] | 25.07 s | join = 3193 | tmass = 3193 | gaia = 13296| TOP = 50000000
[################                                  ] 33% 110-111 | [60]-[70] | 44.62 s | join = 13637 | tmass = 13637 | gaia = 55748| TOP = 50000000
[#################################                 ] 67% 110-111 | [70]-[80] | 36.23 s | join = 8392 | tmass = 8392 | gaia = 32275| TOP = 50000000
[##################################################] 100% 110-111 | [80]-[90] | 30.64 s | join = 3068 | tmass = 3068 | gaia = 13091| TOP = 50000000
[################                                  ] 33% 111-112 | [60]-[70] | 104.86 s | join = 14232 | tmass = 14232 | gaia = 55393| TOP = 50000000
[#################################                 ] 67% 111-112 | [70]-[80] | 39.71 s | join = 8067 | tmass = 8067 | gaia = 31949| TOP = 50000000
[##################################################] 100% 111-112 | [80]-[90] | 22.21 s | join = 2924 | tmass = 2924 | gaia = 12456| TOP = 50000000
[################                                  ] 33% 112-113 | [60]-[70] | 62.85 s | join = 15278 | tmass = 15278 | gaia = 56525| TOP = 50000000
[#################################                 ] 67% 112-113 | [70]-[80] | 37.91 s | join = 8424 | tmass = 8424 | gaia = 33142| TOP = 50000000
[##################################################] 100% 112-113 | [80]-[90] | 26.08 s | join = 2611 | tmass = 2611 | gaia = 11979| TOP = 50000000
[################                                  ] 33% 113-114 | [60]-[70] | 74.04 s | join = 15057 | tmass = 15057 | gaia = 56211| TOP = 50000000
[#################################                 ] 67% 113-114 | [70]-[80] | 93.12 s | join = 8504 | tmass = 8504 | gaia = 34114| TOP = 50000000
[##################################################] 100% 113-114 | [80]-[90] | 19.07 s | join = 2706 | tmass = 2706 | gaia = 11799| TOP = 50000000
[################                                  ] 33% 114-115 | [60]-[70] | 50.74 s | join = 14744 | tmass = 14744 | gaia = 53121| TOP = 50000000
[#################################                 ] 67% 114-115 | [70]-[80] | 38.07 s | join = 8353 | tmass = 8353 | gaia = 33515| TOP = 50000000
[##################################################] 100% 114-115 | [80]-[90] | 16.33 s | join = 2627 | tmass = 2627 | gaia = 11638| TOP = 50000000
[################                                  ] 33% 115-116 | [60]-[70] | 68.5 s | join = 13428 | tmass = 13428 | gaia = 51254| TOP = 50000000
[#################################                 ] 67% 115-116 | [70]-[80] | 87.01 s | join = 8322 | tmass = 8322 | gaia = 32604| TOP = 50000000
[##################################################] 100% 115-116 | [80]-[90] | 17.98 s | join = 2611 | tmass = 2611 | gaia = 11521| TOP = 50000000
[################                                  ] 33% 116-117 | [60]-[70] | 46.59 s | join = 13469 | tmass = 13469 | gaia = 50507| TOP = 50000000
[#################################                 ] 67% 116-117 | [70]-[80] | 30.03 s | join = 8053 | tmass = 8053 | gaia = 31327| TOP = 50000000
[##################################################] 100% 116-117 | [80]-[90] | 22.64 s | join = 2703 | tmass = 2703 | gaia = 11343| TOP = 50000000
[################                                  ] 33% 117-118 | [60]-[70] | 72.69 s | join = 12334 | tmass = 12334 | gaia = 48464| TOP = 50000000
[#################################                 ] 67% 117-118 | [70]-[80] | 50.13 s | join = 7325 | tmass = 7325 | gaia = 29631| TOP = 50000000
[##################################################] 100% 117-118 | [80]-[90] | 18.16 s | join = 2601 | tmass = 2601 | gaia = 11169| TOP = 50000000
[################                                  ] 33% 118-119 | [60]-[70] | 50.05 s | join = 12474 | tmass = 12474 | gaia = 46584| TOP = 50000000
[#################################                 ] 67% 118-119 | [70]-[80] | 74.37 s | join = 7262 | tmass = 7262 | gaia = 28806| TOP = 50000000
[##################################################] 100% 118-119 | [80]-[90] | 16.63 s | join = 2723 | tmass = 2723 | gaia = 11225| TOP = 50000000
[################                                  ] 33% 119-120 | [60]-[70] | 57.99 s | join = 12092 | tmass = 12092 | gaia = 46074| TOP = 50000000
[#################################                 ] 67% 119-120 | [70]-[80] | 38.12 s | join = 7261 | tmass = 7261 | gaia = 28950| TOP = 50000000
[##################################################] 100% 119-120 | [80]-[90] | 28.62 s | join = 2933 | tmass = 2933 | gaia = 11403| TOP = 50000000
