
[#########################################         ] 83% 12-13 | [50]-[60] | 85.97 s | join = 9279 | tmass = 9279 | gaia = 125060| TOP = 174600
[############################################      ] 89% 12-13 | [60]-[70] | 70.16 s | join = 10133 | tmass = 10133 | gaia = 108191| TOP = 250120
[###############################################   ] 94% 12-13 | [70]-[80] | 34.13 s | join = 2982 | tmass = 2982 | gaia = 48436| TOP = 216382
[##################################################] 100% 12-13 | [80]-[90] | 22.81 s | join = 518 | tmass = 518 | gaia = 13656| TOP = 96872
[##                                                ] 6% 13-14 | [-90]-[-80] | 14.06 s | join = 375 | tmass = 375 | gaia = 8007| TOP = 50000
[#####                                             ] 11% 13-14 | [-80]-[-70] | 24.31 s | join = 2040 | tmass = 2040 | gaia = 16364| TOP = 50000
[########                                          ] 17% 13-14 | [-70]-[-60] | 20.58 s | join = 1079 | tmass = 1079 | gaia = 20700| TOP = 50000
[###########                                       ] 22% 13-14 | [-60]-[-50] | 20.92 s | join = 1203 | tmass = 1203 | gaia = 22753| TOP = 50000
[#############                                     ] 28% 13-14 | [-50]-[-40] | 34.38 s | join = 1359 | tmass = 1359 | gaia = 22816| TOP = 50000
[################                                  ] 33% 13-14 | [-40]-[-30] | 26.14 s | join = 1478 | tmass = 1478 | gaia = 22085| TOP = 50000
[###################                               ] 39% 13-14 | [-30]-[-20] | 29.89 s | join = 1600 | tmass = 1600 | gaia = 22246| TOP = 50000
[######################                            ] 44% 13-14 | [-20]-[-10] | 29.64 s | join = 1565 | tmass = 1565 | gaia = 23828| TOP = 50000
[#########################                         ] 50% 13-14 | [-10]-[0] | 36.97 s | join = 1776 | tmass = 1776 | gaia = 25860| TOP = 50000
[###########################                       ] 56% 13-14 | [0]-[10] | 28.79 s | join = 1884 | tmass = 1884 | gaia = 28543| TOP = 51720
[##############################                    ] 61% 13-14 | [10]-[20] | 26.73 s | join = 2214 | tmass = 2214 | gaia = 33135| TOP = 57086
[#################################                 ] 67% 13-14 | [20]-[30] | 30.13 s | join = 2750 | tmass = 2750 | gaia = 41206| TOP = 66270
[####################################              ] 72% 13-14 | [30]-[40] | 39.25 s | join = 3456 | tmass = 3456 | gaia = 56992| TOP = 82412
[######################################            ] 78% 13-14 | [40]-[50] | 59.71 s | join = 5120 | tmass = 5120 | gaia = 87895| TOP = 113984
[#########################################         ] 83% 13-14 | [50]-[60] | 87.03 s | join = 9589 | tmass = 9589 | gaia = 125746| TOP = 175790
[############################################      ] 89% 13-14 | [60]-[70] | 78.94 s | join = 10117 | tmass = 10117 | gaia = 107119| TOP = 251492
[###############################################   ] 94% 13-14 | [70]-[80] | 45.35 s | join = 2887 | tmass = 2887 | gaia = 47306| TOP = 214238
[##################################################] 100% 13-14 | [80]-[90] | 22.29 s | join = 516 | tmass = 516 | gaia = 13108| TOP = 94612
[##                                                ] 6% 14-15 | [-90]-[-80] | 22.45 s | join = 363 | tmass = 363 | gaia = 8010| TOP = 50000
[#####                                             ] 11% 14-15 | [-80]-[-70] | 25.29 s | join = 1706 | tmass = 1706 | gaia = 16397| TOP = 50000
[########                                          ] 17% 14-15 | [-70]-[-60] | 20.52 s | join = 1060 | tmass = 1060 | gaia = 20669| TOP = 50000
[###########                                       ] 22% 14-15 | [-60]-[-50] | 21.04 s | join = 1224 | tmass = 1224 | gaia = 22526| TOP = 50000
[#############                                     ] 28% 14-15 | [-50]-[-40] | 20.68 s | join = 1249 | tmass = 1249 | gaia = 22702| TOP = 50000
[################                                  ] 33% 14-15 | [-40]-[-30] | 28.66 s | join = 1318 | tmass = 1318 | gaia = 21870| TOP = 50000
[###################                               ] 39% 14-15 | [-30]-[-20] | 20.72 s | join = 1414 | tmass = 1414 | gaia = 21897| TOP = 50000
[######################                            ] 44% 14-15 | [-20]-[-10] | 26.9 s | join = 1536 | tmass = 1536 | gaia = 23921| TOP = 50000
[#########################                         ] 50% 14-15 | [-10]-[0] | 25.22 s | join = 1783 | tmass = 1783 | gaia = 25832| TOP = 50000
[###########################                       ] 56% 14-15 | [0]-[10] | 30.68 s | join = 1949 | tmass = 1949 | gaia = 28083| TOP = 51664
[##############################                    ] 61% 14-15 | [10]-[20] | 30.82 s | join = 2154 | tmass = 2154 | gaia = 32669| TOP = 56166
[#################################                 ] 67% 14-15 | [20]-[30] | 31.01 s | join = 2716 | tmass = 2716 | gaia = 40768| TOP = 65338
